Site,Plot,Measurement,Date,Time,PAR Within,PAR Amb.,Mesh,Soil Moist.,File Name,Notes,start cut,end cut,odd
Maxfield,1,a,7/16/15,842,480,1205,light,14,16jul2015mm1a,Near 9 ,,,
Maxfield,1,b,7/16/15,847,364,1302,shade1,14,16jul2015mm1b,,,100,
Maxfield,1,c,7/16/15,852,298,1306,shade2,14,16jul2015mm1c,,35,,
Maxfield,1,d,7/16/15,857,0,1422,dark,14,16jul2015mm1d,,10,,
Maxfield,2,a,7/16/15,906,883,1338,light,16,16jul2015mm2a,Near 36,,,
Maxfield,2,b,7/16/15,911,500,1628,shade1,16,16jul2015mm2b,,,,
Maxfield,2,c,7/16/15,915,190,1323,shade2,16,16jul2015mm2c,,10,,
Maxfield,2,d,7/16/15,919,0,1384,dark,16,16jul2015mm2d,,,,y
Maxfield,3,a,7/16/15,927,664,1008,light,23,16jul2015mm3a,Near 31,,,
Maxfield,3,b,7/16/15,932,498,1505,shade1,23,16jul2015mm3b,,15,,
Maxfield,3,c,7/16/15,935,158,1752,shade2,23,16jul2015mm3c,,,,
Maxfield,3,d,7/16/15,940,1,1575,dark,23,16jul2015mm3d,,,,y
Maxfield,4,a,7/16/15,949,1252,1502,light,17,16jul2015mm4a,Near 3,,,
Maxfield,4,b,7/16/15,953,565,1728,shade1,17,16jul2015mm4b,,,,
Maxfield,4,c,7/16/15,957,402,1907,shade2,17,16jul2015mm4c,,,,
Maxfield,4,d,7/16/15,1002,0,1528,dark,17,16jul2015mm4d,,,,
Maxfield,5,a,7/16/15,1010,724,1942,light,17,16jul2015mm5a,Near 19,,,
Maxfield,5,b,7/16/15,1018,565,2004,shade1,17,16jul2015mm5b,,,,
Maxfield,5,c,7/16/15,1022,272,1950,shade2,17,16jul2015mm5c,,,,y
Maxfield,5,d,7/16/15,1026,1,1881,dark,17,16jul2015mm5d,,,,
Judd_Falls,1,a,7/16/15,1157,1391,1905,light,18,16jul2015jf1a,,,100,
Judd_Falls,1,b,7/16/15,1201,772,2070,shade1,18,16jul2015jf1b,,,,y
Judd_Falls,1,c,7/16/15,1205,486,2031,shade2,18,16jul2015jf1c,,20,,
Judd_Falls,1,d,7/16/15,1209,0,2011,dark,18,16jul2015jf1d,,,,
Judd_Falls,2,a,7/16/15,1216,1400,1950,light,13,16jul2015jf2a,,,,
Judd_Falls,2,b,7/16/15,1220,665,2125,shade1,13,16jul2015jf2b,,,,
Judd_Falls,2,c,7/16/15,1224,495,2066,shade2,13,16jul2015jf2c,,,,y
Judd_Falls,2,d,7/16/15,1228,0,1723,dark,13,16jul2015jf2d,,,,
Judd_Falls,3,a,7/16/15,1234,1658,2205,light,12,16jul2015jf3a,,,,
Judd_Falls,3,b,7/16/15,1238,788,2058,shade1,12,16jul2015jf3b,,,,y
Judd_Falls,3,c,7/16/15,1243,653,2180,shade2,12,16jul2015jf3c,,45,,
Judd_Falls,3,d,7/16/15,1247,1,2084,dark,12,16jul2015jf3d,,,,
Judd_Falls,4,a,7/16/15,1253,1553,2137,light,13,16jul2015jf4a,,,,
Judd_Falls,4,b,7/16/15,1257,901,2187,shade1,13,16jul2015jf4b,,,,
Judd_Falls,4,c,7/16/15,1301,292,2205,shade2,13,16jul2015jf4c,,,,
Judd_Falls,4,d,7/16/15,1305,1,2216,dark,13,16jul2015jf4d,,,,
Judd_Falls,5,a,7/16/15,1313,1199,2172,light,18,16jul2015jf5a,,40,,
Judd_Falls,5,b,7/16/15,1317,705,2142,shade1,18,16jul2015jf5b,,25,,
Judd_Falls,5,c,7/16/15,1321,562,2230,shade2,18,16jul2015jf5c,,,,y
Judd_Falls,5,d,7/16/15,1325,0,2224,dark,18,16jul2015jf5d,,,,
Almont,1,a,7/20/15,839,780,1160,light,9.6,20jul2015a01a,,15,,
Almont,1,b,7/20/15,843,316,1308,shade1,9.6,20jul2015a01b,,30,,
Almont,1,c,7/20/15,847,304,1100,shade2,9.6,20jul2015a01c,,30,,
Almont,1,d,7/20/15,851,0,1220,dark,9.6,20jul2015a01d,,30,,
Almont,2,a,7/20/15,855,718,1222,light,17.6,20jul2015a02a,,30,,
Almont,2,b,7/20/15,859,436,1496,shade1,17.6,20jul2015a02b,,30,,
Almont,2,c,7/20/15,902,283,1459,shade2,17.6,20jul2015a02c,,30,,
Almont,2,d,7/20/15,906,0,1395,dark,17.6,20jul2015a02d,,5,,
Almont,3,a,7/20/15,913,641,1260,light,11.2,20jul2015a03a,,20,,
Almont,3,b,7/20/15,916,257,1542,shade1,11.2,20jul2015a03b,,20,,
Almont,3,c,7/20/15,920,133,1353,shade2,11.2,20jul2015a03c,,,,y
Almont,3,d,7/20/15,923,0,1724,dark,11.2,20jul2015a03d,,,,y
Almont,4,a,7/20/15,929,623,1386,light,17.5,20jul2015a04a,,,,
Almont,4,b,7/20/15,933,420,1206,shade1,17.5,20jul2015a04b,,43,,
Almont,4,c,7/20/15,937,179,1327,shade2,17.5,20jul2015a04c,,40,,
Almont,4,d,7/20/15,940,1,1384,dark,17.5,20jul2015a04d,,,,
Almont,5,a,7/20/15,944,727,1307,light,12.6,20jul2015a05a,,,,
Almont,5,b,7/20/15,948,481,1560,shade1,12.6,20jul2015a05b,,,,
Almont,5,c,7/20/15,951,275,1440,shade2,12.6,20jul2015a05c,,28,,
Almont,5,d,7/20/15,955,0,1586,dark,12.6,20jul2015a05d,,20,,
Almont,6,a,7/20/15,1000,1153,1603,light,12,20jul2015a06a,,20,,
Almont,6,b,7/20/15,1004,578,1682,shade1,12,20jul2015a06b,,10,,y
Almont,6,c,7/20/15,1007,170,1412,shade2,12,20jul2015a06c,,,,
Almont,6,d,7/20/15,1011,0,1420,dark,12,20jul2015a06d,,30,,
Almont,7,a,7/20/15,1016,1047,1776,light,12.3,20jul2015a07a,,,,
Almont,7,b,7/20/15,1020,480,1736,shade1,12.3,20jul2015a07b,,40,,
Almont,7,c,7/20/15,1024,278,1880,shade2,12.3,20jul2015a07c,,,,y
Almont,7,d,7/20/15,1028,0,1356,dark,12.3,20jul2015a07d,,50,,
Almont,8,a,7/20/15,1034,1573,1860,light,15.5,20jul2015a08a,,,,
Almont,8,b,7/20/15,1038,807,1738,shade1,15.5,20jul2015a08b,,30,,
Almont,8,c,7/20/15,1041,284,1891,shade2,15.5,20jul2015a08c,,30,,
Almont,8,d,7/20/15,1044,0,1909,dark,15.5,20jul2015a08d,,,,y
Almont,9,a,7/20/15,1049,583,1700,light,14.3,20jul2015a09a,,,70,
Almont,9,b,7/20/15,1053,678,2024,shade1,14.3,20jul2015a09b,,20,,
Almont,9,c,7/20/15,1057,325,1909,shade2,14.3,20jul2015a09c,,,,
Almont,9,d,7/20/15,1100,1,1897,dark,14.3,20jul2015a09d,,,,
Almont,10,a,7/20/15,1105,1115,2075,light,19,20jul2015a10a,,,,
Almont,10,b,7/20/15,1115,853,2165,shade1,19,20jul2015a10b,,,,
Almont,10,c,7/20/15,1118,529,2167,shade2,19,20jul2015a10c,,,,y
Almont,10,d,7/20/15,1122,1,1207,dark,19,20jul2015a10d,,25,,
Almont,11,a,7/20/15,1127,1541,2241,light,15.1,20jul2015a11a,,,,
Almont,11,b,7/20/15,1131,844,2323,shade1,15.1,20jul2015a11b,,,,
Almont,11,c,7/20/15,1135,244,2118,shade2,15.1,20jul2015a11c,,,,
Almont,11,d,7/20/15,1139,3,1934,dark,15.1,20jul2015a11d,,20,,y
Almont,12,a,7/20/15,1144,1265,2100,light,14.2,20jul2015a12a,,,100,
Almont,12,b,7/20/15,1148,691,1923,shade1,14.2,20jul2015a12b,,,,
Almont,12,c,7/20/15,1152,446,2095,shade2,14.2,20jul2015a12c,,,,
Almont,12,d,7/20/15,1156,0,2308,dark,14.2,20jul2015a12d,,20,,
Almont,13,a,7/20/15,1203,1879,2123,light,10,20jul2015a13a,,,,
Almont,13,b,7/20/15,1207,987,2242,shade1,10,20jul2015a13b,,,,
Almont,13,c,7/20/15,1220,342,2142,shade2,10,20jul2015a13c,,5,,
Almont,13,d,7/20/15,1223,0,2189,dark,10,20jul2015a13d,,,,
Almont,14,a,7/20/15,1230,1654,2321,light,14.7,20jul2015a14a,,25,,
Almont,14,b,7/20/15,1234,489,2217,shade1,14.7,20jul2015a14b,,,,
Almont,14,c,7/20/15,1238,467,2199,shade2,14.7,20jul2015a14c,,,,y
Almont,14,d,7/20/15,1242,0,2390,dark,14.7,20jul2015a14d,,,,
Almont,15,a,7/22/15,906,634,1299,light,13.7,22jul2015a15a,,,,
Almont,15,b,7/22/15,910,323,1205,shade1,13.7,22jul2015a15b,,35,,
Almont,15,c,7/22/15,913,192,1292,shade2,13.7,22jul2015a15c,,50,,
Almont,15,d,7/22/15,916,0,1228,dark,13.7,22jul2015a15d,,,,
Almont,16,a,7/22/15,921,837,1222,light,9.5,22jul2015a16a,,,,
Almont,16,b,7/22/15,925,390,1225,shade1,9.5,22jul2015a16b,,25,,
Almont,16,c,7/22/15,928,234,1307,shade2,9.5,22jul2015a16c,,,,
Almont,16,d,7/22/15,932,0,1267,dark,9.5,22jul2015a16d,,,,
Almont,17,a,7/22/15,940,1105,1350,light,12.8,22jul2015a17a,,,,
Almont,17,b,7/22/15,944,866,1347,shade1,12.8,22jul2015a17b,,,,
Almont,17,c,7/22/15,947,222,1399,shade2,12.8,22jul2015a17c,,,,
Almont,17,d,7/22/15,951,0,1357,dark,12.8,22jul2015a17d,,,,
Almont,18,a,7/22/15,956,1133,1381,light,17.7,22jul2015a18a,,,,
Almont,18,b,7/22/15,1000,551,1461,shade1,17.7,22jul2015a18b,,40,,
Almont,18,c,7/22/15,1004,335,1520,shade2,17.7,22jul2015a18c,,,,
Almont,18,d,7/22/15,1007,0,1508,dark,17.7,22jul2015a18d,,,,
Almont,19,a,7/22/15,1012,1037,1472,light,17.7,22jul2015a19a,,,,
Almont,19,b,7/22/15,1016,713,1437,shade1,17.7,22jul2015a19b,,40,,
Almont,19,c,7/22/15,1020,452,1526,shade2,17.7,22jul2015a19c,,,,
Almont,19,d,7/22/15,1023,0,1864,dark,17.7,22jul2015a19d,,30,,
Almont,20,a,7/22/15,1029,976,1497,light,22,22jul2015a20a,,,,
Almont,20,b,7/22/15,1033,320,1608,shade1,22,22jul2015a20b,,10,,
Almont,20,c,7/22/15,1043,298,1832,shade2,22,22jul2015a20c,,,,
Almont,20,d,7/22/15,1046,0,1862,dark,22,22jul2015a20d,,,,
Almont,21,a,7/22/15,1051,1484,1950,light,15.7,22jul2015a21a,,,,
Almont,21,b,7/22/15,1054,381,1878,shade1,15.7,22jul2015a21b,,40,,
Almont,21,c,7/22/15,1106,437,1991,shade2,15.7,22jul2015a21c,,,,
Almont,21,d,7/22/15,1109,2,2122,dark,15.7,22jul2015a21d,,,,
