Site,Lat,Long,Source
Almont_Obs,38.71533333,-106.8226389,GPS
Almont_Low,38.65390833,-106.8619778,Google Earth
Bellview,39.00718333,-107.02325,GPS
Brush_Creek,38.86803333,-106.9126167,GPS
Cinnamon_Obs,38.99158333,-107.0665556,GPS
Cinni_Top,38.99291389,-107.0658528,Google Earth
Elkton,38.96133333,-107.0314722,GPS
Judd_Falls,38.97048333,-106.9948139,Google Earth
Maxfield,38.94955833,-106.9929,Google Earth
Mexican_Cut,39.02633333,-107.0661667,GPS
Painter_Boy,38.97005,-107.0398667,GPS
Schofield,39.03423333,-107.0568528,Google Earth
Slate_River,38.91383889,-107.0272972,Google Earth
Washington_Gulch,38.89803611,-106.9784944,Google Earth
