Site,Date,Time,PAR Above ,PAR Below 1,PAR Below 2,PAR Below 3,PAR Below 4,PAR Below 5,Sun,Elevation
Almont_Low,7/22/2015,14:47,2224,1964,2373,2315,2249,2420,F,2480
Almont_Low,7/22/2015,15:18,1947,307,1888,1409,424,1832,F,2480
Almont_Low,7/22/2015,15:49,2182,2073,1435,2313,1697,983,F,2480
Almont_Low,7/22/2015,16:20,1694,1631,1646,1491,244,1658,F,2480
Almont_Low,7/22/2015,16:41,1544,1475,241,1070,1550,912,F,2480
Almont_Obs,7/23/2015,11:20,1790,1628,1360,1659,1761,770,F,2740
Almont_Obs,7/23/2015,11:23,1925,1503,1904,1687,124,118,F,2740
Almont_Obs,7/23/2015,11:25,1695,921,1628,194,1602,1757,F,2740
Almont_Obs,7/23/2015,11:45,1965,1531,1780,2051,1500,1497,F,2740
Almont_Obs,7/23/2015,11:51,2014,258,1007,1784,843,620,F,2740
Judd_Falls,7/26/2015,10:22,911,109,119,144,167,249,C,2943
Judd_Falls,7/26/2015,10:23,870,313,91,82,220,129,C,2943
Judd_Falls,7/26/2015,10:24,825,61,140,186,107,121,C,2943
Judd_Falls,7/26/2015,10:25,791,393,607,503,200,155,C,2943
Judd_Falls,7/26/2015,10:25,867,127,80,69,34,12,C,2943
Elkton,7/27/2015,9:27,1380,24,38,90,110,55,F,3200
Elkton,7/27/2015,9:31,411,13,96,155,39,165,C,3200
Elkton,7/27/2015,9:34,368,148,139,69,49,74,C,3200
Elkton,7/27/2015,9:57,1529,29,714,162,151,1068,F,3200
Elkton,7/27/2015,10:10,1410,21,77,75,36,58,F,3200
Painter_Boy,7/27/2015,13:10,306,149,158,94,74,91,C,3392
Painter_Boy,7/27/2015,13:11,421,242,157,239,82,95,C,3392
Painter_Boy,7/27/2015,13:37,2021,1221,1076,1906,1531,1190,F,3392
Painter_Boy,7/27/2015,13:56,2093,922,1516,1054,1132,1421,F,3392
Painter_Boy,7/27/2015,14:28,461,214,261,109,272,151,C,3392
Washington_Gulch,7/27/2015,8:11,729,112,201,124,48,58,F,2806
Washington_Gulch,7/27/2015,8:11,757,471,374,230,30,177,F,2806
Washington_Gulch,7/27/2015,8:12,776,130,107,55,102,66,F,2806
Washington_Gulch,7/27/2015,8:12,916,118,277,134,104,105,F,2806
Washington_Gulch,7/27/2015,8:13,701,973,117,363,530,357,F,2806
Schofield,7/25/2015,13:27,2118,1808,1557,75,64,2118,F,3152
Schofield,7/25/2015,13:24,2105,2134,792,2001,2080,1864,F,3152
Schofield,7/25/2015,13:36,2048,1249,643,2096,301,1874,F,3152
Schofield,7/25/2015,13:37,2189,2064,1993,493,1581,447,F,3152
Schofield,7/25/2015,13:55,2188,2179,55,140,1397,2171,F,3152
Cinni_Top,7/28/2015,16:33,1277,680,879,42,944,242,F,3560
Cinni_Top,7/28/2015,16:33,1081,624,791,793,772,714,F,3560
Cinni_Top,7/28/2015,16:34,1119,1092,733,517,324,154,F,3560
Cinni_Top,7/28/2015,16:35,1274,88,182,1001,818,351,F,3560
Cinni_Top,7/28/2015,16:36,1328,505,781,1177,54,682,F,3560
Cinnamon_Obs,7/28/2015,14:05,1887,1814,1831,554,1804,1857,F,3460
Cinnamon_Obs,7/28/2015,14:20,1794,1863,1886,1745,1788,1572,F,3460
Cinnamon_Obs,7/28/2015,14:27,1794,1640,1714,700,1660,1324,F,3460
Cinnamon_Obs,7/28/2015,14:31,1821,1437,1715,1561,1688,1735,F,3460
Cinnamon_Obs,7/28/2015,14:33,1759,1740,1550,1469,1251,1621,F,3460
Maxfield,7/16/2015,10:43,1753,47,36,65,550,325,F,2897
Maxfield,7/16/2015,10:51,1916,289,198,82,85,68,F,2897
Maxfield,7/16/2015,10:57,2008,1750,21,54,1470,21,F,2897
Maxfield,7/16/2015,11:02,1942,1585,787,52,295,275,F,2897
Slate_River,7/29/2015,11:00,1840,1355,85,131,1852,124,F,2806
Slate_River,7/29/2015,11:00,1788,95,1647,167,1184,1107,F,2806
Slate_River,7/29/2015,11:00,1445,82,843,43,119,62,F,2806
Slate_River,7/29/2015,11:00,1526,298,279,94,1512,1466,F,2806
Slate_River,7/29/2015,11:00,1822,206,14,828,204,211,F,2806
Brush_Creek,7/29/2015,13:30,1596,5,148,8,38,4,F,2769
Brush_Creek,7/29/2015,13:30,1693,22,2,24,7,38,F,2769
Brush_Creek,7/29/2015,13:30,1553,4,16,47,61,7,F,2769
Brush_Creek,7/29/2015,13:30,1556,9,24,22,1,7,F,2769
Brush_Creek,7/29/2015,13:30,1454,16,9,2,37,47,F,2769
