"Site","LMA.mean","LMA.stderr","LMA.median","RML.mean","RML.stderr","RML.median","LDMC.mean","LDMC.stderr","LDMC.median","Height.mean","Height.stderr","Height.median","PCA1.mean","PCA1.stderr","PCA1.median","Elevation","LAI","LAI95","biomass","biomass95","Lat","Long","Source","MAT","MAP","summertemp","summerprecip","Total.N","NO3.N","NH4.N","Ca","Mg","K","P","Fe","Mn","Cu","Zn","B","S","Pb","Al","Cd","VWC","VWC95","ibutton_temp_July","ibutton_soiltemp_July","FDis","FDh","FDlma","FDrml","NEE","NEE95","graminoid","legume","shortherb","shrub","tallherb"
"Almont_Low",0.010671329,0.001562041,0.010048767,2.3e-05,2.87e-06,2.34e-05,0.395458499,0.033086851,0.379752109,29.26764706,3.364627471,29.44485294,1.553663753,0.548205804,1.296016643,2480,0.263811512,0.083061492,NA,NA,38.65390833,-106.8619778,"Google Earth",2.7,355,14.3,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1.300116918,18.99817518,NA,0.114031724690705,0.0925912152350584,0.131743620398969,0.115739971012806,-1.50337428360377,0.403536987345854,0.508849558,0,0.168141593,0.32300885,0
"Almont_Obs",0.009366695,0.001013334,0.006897568,0.000218433,4.05e-05,0.000130487,0.299212205,0.042414791,0.27731761,40.47276888,7.117976879,20.41576703,2.907147542,0.696257602,1.508850601,2740,0.619833804,0.156262922,49.61,20.12160094,38.71533333,-106.8226389,"GPS",0.8,486,12.1,127,93.73,90.79,2.94,1871.13,197.56,242.91,2.03,3.86,3.64,0.19,1.09,0.1,17.59,0.96,3.94,0.02,10.56,0.992851731,14.06889784,16.06019782,0.187397618965042,0.14839353890824,0.161355945841205,0.256910551195609,-2.85334834549442,1.78107428114047,0.420382166,0.02866242,0.159235669,0.149681529,0.242038217
"Bellview",0.005697194,0.000757772,0.006011776,2.74e-05,2.83e-06,2.5e-05,0.425683686,0.085690791,0.461846846,48.80138249,10.6038151,38.56328725,0.161560159,0.382412103,0.422837255,3335,NA,NA,NA,NA,39.00718333,-107.02325,"GPS",-0.6,572,9.9,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0945875830466337,0.146711547637251,0.0633174822259448,0.0812733962827169,NA,NA,0.093928981,0.036655212,0.146620848,0,0.72279496
"Cinnamon_Obs",0.005649221,0.000667557,0.005151734,0.000127387,2.65e-05,0.000111138,0.286352488,0.043618918,0.266417131,12.97955648,2.386417835,13.60816327,0.748669637,0.428015598,0.371405926,3460,0.176375647,0.042865286,71.528,7.243960603,38.99158333,-107.0665556,"GPS",-1.4,643,8.9,162,56.2,53.44,2.76,1081.51,170.57,211.46,10.28,3.49,5.89,0.56,1.05,0.32,18.5,0.54,26.87,0.07,21.56,2.677104585,10.78159403,12.17016914,0.149116741273898,0.0612373444190758,0.139114931106885,0.232107546306526,-2.45639225576398,1.07324272068467,0.47125,0,0.20625,0.27125,0.05125
"Cinni_Top",0.005597425,0.000563108,0.005358975,1.84e-05,1.29e-06,1.78e-05,0.446919881,0.0611865,0.427838794,13.49921053,2.23684609,12.35039474,0.202689902,0.249721393,0.080352912,3560,0.581302222,0.068077724,89.81,13.15244853,38.99291389,-107.0658528,"Google Earth",-1.8,679,8.3,168,12.55,10.68,1.87,784.86,148.13,522.78,4.24,5.02,7.59,0.23,1.55,0.15,22.89,1.56,27.84,0.24,17,3.036418943,11.85436391,10.76398521,0.121350388409693,0.0594198014320737,0.0875776641092359,0.222899464321149,-4.6287298695143,0.657574402532617,0.344335415,0.009812667,0.536128457,0.070472792,0.039250669
"Elkton",0.005419276,0.000372351,0.005231558,1.79e-05,1.13e-06,1.8e-05,0.299708003,0.026141845,0.287843081,39.91413793,5.238395356,37.14609195,-0.41255011,0.136141637,-0.501543002,3200,2.504047152,0.595665091,NA,NA,38.96133333,-107.0314722,"GPS",-0.7,584,9.7,149,97.18,94.52,2.66,2158.64,245.86,163.59,13.02,6.41,3.45,0.06,0.77,0.24,29.96,1.3,20.33,0.04,24.54,4.208572318,11.96907904,13.01116266,0.0913060251000768,0.154055967973656,0.0928100479440516,0.0265435410851089,-10.1822883855147,2.18305175536974,0.305709024,0.064456722,0.160220994,0,0.46961326
"Judd_Falls",0.006296561,0.000805009,0.005432468,2.12e-05,2.53e-06,1.89e-05,-0.05336139,0.142126042,0.150951113,25.00635118,5.868678785,16.24097136,-1.259382034,0.361691338,-0.908605965,2943,1.55994132,0.232991416,179.88,32.96240569,38.97048333,-106.9948139,"Google Earth",0.4,519,11.2,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,2.585417568,12.49653887,NA,0.215489105806765,0.176556438715447,0.192529339681828,0.272631184090859,-3.95703783664474,1.77133846021063,0.454142012,0.157544379,0.220414201,0,0.167899408
"Maxfield",0.007412213,0.001263181,0.00598863,2.19e-05,3.17e-06,1.8e-05,0.215088593,0.043055282,0.194677812,40.74172662,8.516387002,35.58057554,-0.062056603,0.472529084,-0.564605209,2897,2.533349828,0.510969444,146.564,34.4239491,38.94955833,-106.9929,"Google Earth",-0.2,550,10.4,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,2.94652609,NA,NA,0.200326334895686,0.198543834214202,0.203148958127272,0.245343227941135,-10.1667498648638,3.43510907739294,0.372168285,0.126213592,0.090614887,0,0.411003236
"Mexican_Cut",0.00606196,0.000380986,0.006193053,2.47e-05,3.38e-06,2.37e-05,0.294770445,0.037317619,0.284323496,26.56449541,4.888016324,24.54614679,-0.136882952,0.116771115,-0.14097174,3454,NA,NA,NA,NA,39.02633333,-107.0661667,"GPS",-1.6,657,8.6,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130872755337559,0.104523717820786,0.0475920159833296,0.251888596416192,NA,NA,0.431561997,0.032206119,0.225442834,0.112721417,0.198067633
"Painter_Boy",0.005523058,0.000359815,0.005455679,2.09e-05,1.77e-06,2.1e-05,0.259690933,0.023547689,0.25834224,34.04052718,5.719158465,34.4247117,-0.47091074,0.083947983,-0.509644272,3392,0.75057603,0.056982048,NA,NA,38.97005,-107.0398667,"GPS",-1.6,660,8.6,166,369.68,367.18,2.5,2376.2,267.38,192.89,18.82,28.08,15.59,0.86,2.9,0.11,64.8,3.94,24.93,0.05,23.8,2.529083629,11.21190131,NA,0.0893075464196276,0.118076626751875,0.0646989059034013,0.0992622899139548,-4.7272067641532,0.547379404778856,0.268817204,0,0.323655914,0,0.407526882
